,collection_slug,created_date,total_supply,num_owners,floor_price,market_cap,thirty_day_volume
6,clonex,2021-12-12,18360,7376,6.5,120045,53234.77397804394
0,mutant-ape-yacht-club,2021-08-29,17670,11171,15.0,281373,50009.55319056477
1,boredapeyachtclub,2021-04-22,10000,6081,75.7363,791889,47976.26876597454
4,cryptopunks,2019-04-26,9999,3314,,762264,39675.05790000103
7,sandbox,2019-12-04,103228,17821,3.58,395601,20933.73614520431
71,clonex-mintvial,2021-11-27,774,731,11.32,7852,19003.02343839797
2,primeapeplanetpap,2021-12-28,7979,4948,1.97,18799,17433.796857575955
3,doodles-official,2021-10-17,9999,5508,7.69,80356,15453.518149345264
24,collectvoxmirandus,2021-11-19,8179,4134,1.72,70709,12584.631682187995
22,neotokyo-outer-identities,2021-12-11,4492,4005,11.75,46591,11738.182335553976
29,art-blocks,2020-11-27,47287,9898,,124091,10694.651192987152
5,bored-ape-kennel-club,2021-06-18,9601,5223,5.55,61696,10311.049034111684
12,cool-cats-nft,2021-06-27,9933,5054,11.35,109641,7836.957081979032
9,psychedelics-anonymous-genesis,2021-12-22,9595,6958,1.75,13590,7819.631509179339
25,mypethooligan,2021-12-13,8888,5230,1.369,12402,7411.985448552127
39,decentraland,2019-04-26,97198,6242,3.46784001,526775,7399.3600698115
26,superrare,2019-04-26,29134,5845,0.278,741069,6559.798590026003
19,collectvox,2021-07-30,8888,3418,2.189,67871,6165.588610462727
11,alienfrensnft,2021-12-18,9999,5766,1.19,7241,6121.415559136508
14,wolf-game-migrated,2021-11-28,13706,4107,0.779,31844,5914.975785819078
