,collection_slug,created_date,total_supply,num_owners,floor_price,market_cap,thirty_day_volume
1,boredapeyachtclub,2021-04-22,10000,6081,71.69,791889,47976.26876597454
4,cryptopunks,2019-04-26,9999,3314,,762264,39675.05790000103
26,superrare,2019-04-26,29134,5845,0.278,741069,6559.798590026003
39,decentraland,2019-04-26,97198,6242,3.46784001,526775,7399.3600698115
7,sandbox,2019-12-04,103228,17821,3.58,395601,20933.73614520431
0,mutant-ape-yacht-club,2021-08-29,17670,11171,15.0,281373,50009.55319056477
68,neotokyo-citizens,2021-12-06,1945,1820,45.99,140094,1976.87273
29,art-blocks,2020-11-27,47287,9898,,124091,10694.651192987152
6,clonex,2021-12-12,18360,7376,6.5,120045,53234.77397804394
55,veefriends,2021-05-11,10255,5153,10.0,113756,2680.941310122004
12,cool-cats-nft,2021-06-27,9933,5054,11.35,109641,7836.957081979032
60,meebits,2021-05-03,19998,5489,3.98,80873,2643.5079305056806
3,doodles-official,2021-10-17,9999,5508,7.69,80356,15453.518149345264
24,collectvoxmirandus,2021-11-19,8179,4134,1.72,70709,12584.631682187995
19,collectvox,2021-07-30,8888,3418,2.189,67871,6165.588610462727
5,bored-ape-kennel-club,2021-06-18,9601,5223,5.55,61696,10311.049034111684
22,neotokyo-outer-identities,2021-12-11,4492,4005,11.75,46591,11738.182335553976
87,rumble-kong-league,2021-07-27,9995,3067,2.7,44359,4198.676105088778
40,punks-comic,2021-05-11,22840,6992,0.279,39124,5872.434050273785
36,cyberkongz,2021-04-16,5000,2336,7.09,38045,4837.046831410536
