collection_slug,created_date,market_cap,num_owners,floor_price,total_volume,total_supply,thirty_day_volume,thirty_day_change
mutant-ape-yacht-club,2021-08-29T00:41:59.548458,286779.0560838933,11192,15.5,175852.77883286634,17677,51547.6261435647,0.726680136796424
boredapeyachtclub,2021-04-22T23:14:03.967121,776569.9335168923,6086,69.5,299978.5452270546,10000,49168.47776597453,0.02509443936164142
primeapeplanetpap,2021-12-28T14:47:19.031823,22662.31751208346,4949,1.74,18431.78343557591,7979,18431.783435575966,0
doodles-official,2021-10-17T13:00:47.419945,92163.05555317279,5557,9.45,46553.27620818187,9999,19625.697539145243,0.6964943458844174
cryptopunks,2019-04-26T22:13:09.691572,764521.2530999997,3314,,774855.5891493,9999,38834.61790000099,0.12286287542295685
clonex,2021-12-12T18:32:58.410707,124312.06314969275,7392,6.099,54391.409664811465,18373,54391.40966481114,0
bored-ape-kennel-club,2021-06-18T21:32:25.355263,62041.21436018022,5232,5.869,49219.198210679606,9601,10551.616878324376,1.8356210963741224
sandbox,2019-12-04T10:58:29.069907,402171.99401917367,17851,3.68,131885.67850853267,103265,20954.966887836123,-0.545119776516853
bored-ape-chemistry-club,2021-08-28T19:14:35.400797,85.11349401197604,1224,15.6,33190.70117364744,3,9306.235489999995,2.4941464206810235
psychedelics-anonymous-genesis,2021-12-22T21:00:33.484429,14458.627793548252,6949,1.9,8208.592538769382,9595,8208.592538769428,0
alienfrensnft,2021-12-18T06:46:31.634552,8265.539024106763,5849,1.4,6818.80688210925,9999,6818.80688210925,0
phantabear,2021-12-31T09:26:30.303698,5709.501347817931,4947,0.65,4018.34704859425,10000,4018.3470485942594,0
cool-cats-nft,2021-06-27T09:03:35.403074,111911.34878880584,5049,10.2,66948.59616566739,9933,7954.597871979055,0.37531916068645943
nft-worlds,2021-10-06T04:57:55.922255,31810.516253548365,4566,4.0,9995.730178399292,9996,6025.3972881741365,3.0188789647758694
inbetweeners,2021-12-25T05:04:41.533646,12415.040281407937,5266,0.689,6098.494386215034,10777,6098.4943862150085,0
bored-bunny--nft,2022-01-04T16:49:31.681945,4093.2983961598093,3486,0.78,3186.860843739586,4999,3186.8608437395433,0
wolf-game-migrated,2021-11-28T04:07:17.068658,32905.48155007829,4116,0.75,11244.27147398821,13706,6035.637735829079,0.15877560973642108
deadfellaz,2021-08-13T14:30:12.621434,18052.948622347234,5720,1.94,13033.576926076621,9997,3959.431003682727,1.295088740181163
coolmans-universe,2021-12-17T23:15:45.785451,7081.650590930072,5109,1.1,5739.588446164288,10000,5739.588446164255,0
capsulehouse,2021-09-28T04:59:44.631052,11808.536569333568,3042,1.99,8485.805437471601,10000,3436.856894128836,22.84520667301996
town-star,2020-07-07T04:21:17.383133,57.377359761074,34999,0.00011286,23862.870304894208,425,11381.00629185893,3.0333955461613438
morethangamersnftmtg,2021-12-23T09:32:17.568846,5896.8104584713765,6913,0.349,5973.735084765062,10100,5973.735084764965,0
collectvox,2021-07-30T21:52:12.603912,70639.00749820042,3420,2.2,20750.864534197117,8888,6182.195072854426,-0.02492909531352279
jankyheist,2021-07-13T04:06:19.864433,5311.31267573632,4409,0.43,3072.803761073127,12262,2376.9483166065193,202.39614048984882
apocalyptic-apes,2021-12-15T19:18:03.090228,8881.97692096225,3478,0.8599,4012.746621594799,8888,4012.746621594769,0
neotokyo-outer-identities,2021-12-11T18:22:45.276088,47208.6957077512,4005,11.75,11815.012335553962,4492,11815.01233555401,0
