rank_num,collection_slug,created_date,num_owners,floor_price,total_volume,total_supply,thirty_day_volume,thirty_day_change
0,world-of-women-galaxy,2022-03-23T16:19:31.817709,10763,1.23,20640.106052976465434767,20583,20640.106052976465434767,0
1,azuki,2022-01-12T04:18:22.531632,5488,24.8,162039.132614973845193163,10000,39016.185784101697208825,-0.2303169738016392
2,boredapeyachtclub,2021-04-22T23:14:03.967121,6406,109.99,480301.65785281005082652,9999,69822.696631236845860258,0.8434497540571261
3,mutant-ape-yacht-club,2021-08-29T00:41:59.548458,12317,23.4,299739.552550360676832497,18543,48114.24148552482802188,0.8259608511924497
4,somethingofficial,2022-03-31T05:32:31.772609,6039,4.2,6234.530907841965017724,19878,6234.530907841965017724,0
5,impostors-genesis-aliens,2022-03-28T19:00:24.066010,6251,2.095,6213.139350879038829589,10000,6213.139350879038829589,0
6,kiwami-genesis,2022-03-24T00:01:03.777862,4602,0.394,6810.869243581085356709,9994,6810.869243581085356709,0
7,clonex,2021-12-12T18:32:58.410707,8725,14.98,154591.065218043862842023,19136,20609.301092287350911647,-0.4437481121278009
8,zombieclub-token,2022-03-15T10:43:33.830409,3599,1.84,9179.503619892326241825,6666,9179.503619892326241825,0
9,cryptopunks,2019-04-26T22:13:09.691572,3422,1.84,879346.122843292658217251,9999,28053.059994000050210161,-0.2130943646871899
10,arcade-land,2022-03-31T09:35:06.582657,4098,0.615,3371.842425032207756885,7487,3371.842425032207756885,0
11,bapetaverse-official,2022-03-22T09:16:10.103849,4859,0.99,6704.310781663215493609,10000,6704.310781663215493609,0
12,max-pain-and-frens-by-xcopy,2022-03-24T15:00:59.679354,3444,1.0989,3160.035385376876547525,7469,3160.035385376876547525,0
13,murakami-flowers-seed,2022-03-29T02:30:01.462756,2093,7.8,2637.739180999998552579,1,2637.739180999998552579,0
14,cyberbrokers,2022-03-04T01:32:58.506052,3582,3.38,22264.771009713953390019,9987,22264.771009713953390019,0
15,doodles-official,2021-10-17T13:00:47.419945,4465,13.89,97485.441177590109873563,10000,12014.83399261411432235,-0.07486329178583387
16,world-of-women-nft,2021-07-27T14:26:04.834925,5317,8.19,63496.753355481487233192,10000,8717.366427155193377985,0.3826835461667167
17,rtfkt-mnlth,2022-02-05T09:08:59.709609,9007,6.1,24705.330836698747589253,1,8957.496507999989262316,-0.43119185019136835
18,gutter-juice,2022-03-08T21:08:40.869515,7826,0.292,6883.622045503946537792,25467,6883.622045503946537792,0
19,fvck-avatar-essence,2022-03-23T16:40:31.700213,5492,0.683,2104.820927882108207996,1,2104.820927882108207996,0
20,murixhaus,2022-03-13T18:59:59.854983,6313,0.696,14520.985912286261736881,10000,14520.985912286261736881,0
21,metroverse-blackout,2022-03-17T17:27:16.406273,200,1.45,1749.866613440000946866,8452,1749.866613440000946866,0
22,bored-ape-kennel-club,2021-06-18T21:32:25.355263,5527,7.4,78677.346950264080078341,9602,13452.466269884900611942,1.3145077274526433
23,mutantshibaclub,2022-03-29T23:10:29.778472,5208,0.1599,1468.169965585363343052,6855,1468.169965585363343052,0
24,invisiblefriends,2022-02-21T22:22:47.172948,4127,6.78,35215.949450703112233896,5000,9416.938622821973694954,-0.6349883844133639
25,ashmetamorphosis,2022-03-30T05:21:13.477661,2999,0.179,1423.887328813210160661,6730,1423.887328813210160661,0
26,everai-heroes-duo,2022-03-26T14:37:11.304939,3647,0.24,1418.586603474418325277,7777,1418.586603474418325277,0
27,peacefall,2022-03-22T13:18:48.466276,2659,0.159,1934.124890810190890988,8192,1934.124890810190890988,0
28,sandbox,2019-12-04T10:58:29.069907,20346,2.239,157150.828432332375086844,171939,6717.398950168641022174,-0.5108061953579642
29,the-art-of-seasons,2022-03-24T11:56:01.120315,2893,0.038,1121.933232656199379562,6904,1121.933232656199379562,0
30,raidpartyfighters,2022-01-31T13:40:41.905169,542,0.42,13416.470234398753746063,12476,7266.02355467987308657,0.18138143992692382
31,meebits,2021-05-03T01:32:41.897161,6172,5,101144.739725459774490446,20000,16686.830861408663622569,9.655113151040963
32,trippytoadznft,2022-03-21T03:02:30.863652,3490,0.1,1429.215104181563447128,6969,1429.215104181563447128,0
33,mfers,2021-11-30T04:55:51.097880,5301,2.67,30454.975495670845702989,10020,6602.866499899339032709,-0.6701961302201443
34,snif,2022-03-31T11:17:06.227559,1069,1.589,983.629279999900063558,1828,983.629279999900063558,0
35,kaijufrenz-genesis,2022-03-25T15:45:12.169606,4606,0.06,983.028132967131227815,6666,983.028132967131227815,0
36,adidasoriginals,2021-12-17T01:05:06.570334,21714,1.42,30086.993782566947629675,1,3566.179889655813440186,-0.4159943426658674
