collection_slug,created_date,market_cap,num_owners,floor_price,total_volume,total_sales,total_supply,thirty_day_volume,thirty_day_change,thirty_day_sales,thirty_day_average_price
incrementum,2021-08-25T05:35:02.345056,1.3333333333333333,1226,0.0,63.003236384233865,1384.0,4000.0,0.001,0.0,3.0,0.000333333333333333
cryptopunks,2019-04-26T22:13:09.691572,758213.3728342104,3317,,774437.4491492889,18432.0,9999.0,40978.75790000101,0.2350800005153298,490.0,83.63011816326737
divineanarchy,2021-11-05T08:22:43.713119,1549.2716331683164,4822,0.11,3345.0312270386357,10021.0,10011.0,149.70238948990752,-0.953149613983157,820.0,0.18256388962183845
primeapeplanetpap,2021-12-28T14:47:19.031823,12363.449629428622,4941,2.97,10722.530572207754,6920.0,7979.0,10722.530572207803,0.0,6920.0,1.5494986376022837
doodles-official,2021-10-17T13:00:47.419945,74841.88353006581,5498,6.08,40173.081618381904,16317.0,9999.0,13480.752549345256,0.13599617013429546,2531.0,5.32625545213167
bored-ape-kennel-club,2021-06-18T21:32:25.355263,59810.45205416632,5210,7.7,48093.86918646659,15804.0,9602.0,9548.705634111695,1.6010094165160929,1840.0,5.189513931582443
bored-ape-chemistry-club,2021-08-28T19:14:35.400797,101.14615312499996,1250,17.25,32416.732673647482,3147.0,3.0,8655.970989999993,2.2673170270771794,411.0,21.06075666666665
clonex,2021-12-12T18:32:58.410707,122602.60664720045,7312,5.75,51013.76288804403,6925.0,18347.0,51013.762888043915,0.0,6925.0,7.36660835928432
inbetweeners,2021-12-25T05:04:41.533646,11902.408115608236,4100,0.99,4616.24362300123,3716.0,7777.0,4616.243623001207,0.0,3716.0,1.242261470129496
deadfellaz,2021-08-13T14:30:12.621434,16774.40692811039,5663,1.65,12571.400477376574,20453.0,9997.0,3561.2089102631226,1.0195016578883316,2529.0,1.4081490352958175
boredbananas,2021-06-23T22:16:03.107813,309.80214375,1793,0.048,485.7004990738151,4124.0,4027.0,14.013065796763392,0.14563517718415153,171.0,0.08194775319744674
thewickedcraniums,2021-06-14T08:13:30.005887,1662.704039182299,4043,0.15,8849.611941112078,21156.0,10761.0,74.45823329151524,0.2772105250077704,527.0,0.14128697019262854
autoglyphs,2019-04-26T22:13:23.350126,75093.33333333333,149,189.0,18025.86909038858,472.0,512.0,520.0,0.0,4.0,130.0
neotokyo-citizens,2021-12-06T20:54:41.531623,168142.00833333336,1821,42.72,1703.25273,36.0,1945.0,1703.25273,0.0,36.0,47.312575833333334
veefriends,2021-05-11T18:22:19.398578,100096.96571466666,5145,9.95,34425.69024118589,3279.0,10255.0,2402.0442101220065,0.004838397594431402,226.0,10.628514204079675
guttercatgang,2021-06-08T19:31:45.216105,21022.117416020257,1758,7.0,17314.07171891396,9221.0,3000.0,2366.693869189978,1.4479235431665483,399.0,5.93156358192977
cryptoadz-by-gremplin,2021-09-08T20:07:14.086599,26795.54176718791,3667,3.95,54719.74456547983,16809.0,7025.0,4996.175636002704,0.03900313784474993,1419.0,3.520913062722131
meebits,2021-05-03T01:32:41.897161,80626.8932666894,5480,3.8,78933.43457805984,14656.0,19998.0,2447.3374723130537,-0.15128964765818362,657.0,3.7250189837337193
nft-worlds,2021-10-06T04:57:55.922255,26797.809636385216,4568,3.3,9255.562478222342,14704.0,9996.0,5481.822172252619,3.1795858349166015,3575.0,1.533376831399334
primeapeplanetpap,2021-12-28T14:47:19.031823,12363.449629428622,4941,2.97,10722.530572207754,6920.0,7979.0,10722.530572207803,0.0,6920.0,1.5494986376022837
rumble-kong-league,2021-07-27T20:54:47.143735,45722.77673468776,3059,2.95,14650.547487793438,11732.0,9995.0,4283.434271300835,1.9773173504026844,1211.0,3.5371050960370227
the-doge-pound,2021-07-12T20:21:03.766305,19117.497510373436,5566,2.43,25544.06064362307,16969.0,10000.0,1289.0230927000036,-0.43455210272385,669.0,1.9267908710015003
world-of-women-nft,2021-07-27T14:26:04.834925,27113.65369103832,4685,2.4,27741.99586746428,18866.0,10000.0,2300.4468613224562,0.24095964312922513,928.0,2.478929807459543
forgottenruneswizardscult,2021-06-29T10:49:13.763292,23253.837808197768,2589,2.221,7696.699281259672,13167.0,9422.0,2094.480747875537,2.8177194051275976,1131.0,1.8518839503762483
collectvox,2021-07-30T21:52:12.603912,44856.304385233816,3416,2.2,19585.12869586073,16783.0,8888.0,5234.0993760575275,-0.1600599929047608,1318.0,3.971243836158974
gutterdogs,2021-10-02T18:49:42.406605,5497.766802465866,1928,1.79,3063.429523128223,2007.0,2907.0,1071.451179134668,1.2572752010550545,699.0,1.5328343049136883
strange-attractors,2021-03-30T03:11:28.045999,0.0,1,,0.0,0.0,2.0,0.0,0.0,0.0,0.0
neo-tokyo-identities,2021-10-04T15:14:32.376341,84185.940225,76,28.0,13379.995464958127,1044.0,2018.0,2161.7681000000002,-0.4332379120300318,84.0,25.735334523809527
non-fungible-soup,2021-08-27T04:54:29.834004,59.187200000000004,1087,0.04,501.7210651610332,2019.0,2048.0,2.1255500000000005,-0.35281490728223874,54.0,0.03936203703703704
pudgy-halloween,2021-10-27T16:24:58.883161,0.04179228461538461,1313,0.016,22.636556788887994,321.0,3.0,0.6694499000000003,-0.908919841814771,41.0,0.016328046341463422
etherlambos,2019-04-26T22:13:07.415255,1274.2736842105267,737,0.59,3352.415556952767,1611.0,1600.0,60.59,0.7466632073567995,79.0,0.7669620253164557
revenants-by-alethea-ai,2021-10-12T20:18:45.535521,0.0,70,33.0,2707.0730653746086,112.0,100.0,59.5,-0.2916666666666667,2.0,29.75
capsule-house,2021-09-29T11:38:09.889000,0.0,7,0.08,1.1820000000000002,12.0,39.0,0.0,-1.0,0.0,0.0
mojimon,2021-07-28T05:57:45.419643,0.0,2,0.0009961337042795188,0.001,1.0,7.0,0.0,0.0,0.0,0.0
template,2021-08-21T15:35:07.540376,16.962230476190477,2061,0.01,1667.7788713035204,5865.0,8992.0,0.5834150101010004,-0.8262042330420922,258.0,0.002261298488763567
headdao,2021-10-17T21:57:12.095051,1282.046137055837,1179,0.17,5807.932989829604,16083.0,10000.0,104.37990889989999,-0.8266642634066145,776.0,0.1345101918813144
settlements,2021-09-06T13:04:29.362048,0.899,631,0.0,9.894699999999997,122.0,2697.0,0.0205,1.05,13.0,0.001576923076923077
xloot,2021-09-02T12:24:07.761717,14.192099117647059,2259,0.0,3414.2064142132704,7538.0,7779.0,0.07203999999999999,1.569470947209628,42.0,0.001715238095238095
abstract-loot,2021-08-29T21:44:57.619727,0.031996,2893,0.0,462.5929154793012,3860.0,7999.0,0.016821009999999997,-0.8632438211382114,32.0,0.0005256565625
derpy-birbs,2021-08-13T11:01:24.753118,14.647642587766155,1823,0.005,1131.284078885089,4941.0,8192.0,0.8702891000099998,-0.20499762491819745,130.0,0.00669453153853846
passive-apes,2021-08-01T23:10:02.436564,0.0375,1253,0.0,190.8018769109014,1919.0,4500.0,0.039101000000000004,0.0,20.0,0.00195505
cypher,2021-03-21T21:23:58.765662,0.0,1,,0.0,0.0,2.0,0.0,0.0,0.0,0.0
squid-dao-nft,2021-11-09T16:00:50.259094,0.0,1,0.04,0.0,0.0,8.0,0.0,0.0,0.0,0.0
fortune,2021-01-12T09:47:44.017311,0.0,1,,0.0,0.0,3.0,0.0,0.0,0.0,0.0
covidpunks,2021-04-06T23:05:56.197018,3.05,187,0.029,88.82921059210248,617.0,305.0,0.11,10.0,4.0,0.0275
moondogs-odyssey,2021-07-29T10:31:06.131406,79.85185185185186,1897,0.009,1260.5016670725267,5583.0,5000.0,2.524911111099999,1.769150154748846,117.0,0.021580436847008538
borpacasso,2021-09-10T21:08:12.959350,132.6068181818182,1159,0.084,1931.7869414340907,4166.0,2250.0,7.349904000000001,-0.2722290874524712,119.0,0.061763899159663876
spookies,2021-03-20T02:04:20.509756,0.0,1,,0.0,0.0,6.0,0.0,0.0,0.0,0.0
ethermore,2021-05-15T06:49:54.731043,388.97142891428575,2871,0.018,615.5601082938364,4413.0,15000.0,3.7537760007999954,3.620061000752121,171.0,0.021951906437426873
8bit,2021-03-12T18:17:57.636361,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mondriannft,2021-09-17T05:33:37.159300,17.84576,1838,0.008,135.4262454472214,1867.0,4096.0,0.45242000000000016,-0.18746408045976995,55.0,0.008225818181818185
lilpudgys,2021-12-19T17:19:18.712729,695.4993745907523,5702,0.0239,302.89456472079524,6013.0,17962.0,302.8945647207892,0.0,6013.0,0.05037328533523852
inbetweeners,2021-12-25T05:04:41.533646,11902.408115608236,4100,0.99,4616.24362300123,3716.0,7777.0,4616.243623001207,0.0,3716.0,1.242261470129496
cryptodragons-eggs,2021-12-24T19:30:03.501585,0.0,1,0.1,0.0,0.0,17.0,0.0,0.0,0.0,0.0
where-did-macy-go,2021-12-03T09:55:50.193059,0.0,3,,0.0,0.0,6.0,0.0,0.0,0.0,0.0
messari-2022-theses,2021-12-02T01:12:27.496148,0.0,28,14.0,13.89701,23.0,38.0,13.897010000000002,0.0,23.0,0.6042178260869566
re-digitalization-of-waves,2021-12-06T12:12:12.919810,0.0,9,,0.0,0.0,43.0,0.0,0.0,0.0,0.0
corruptedog,2021-11-09T08:01:54.536682,14.0,2,,15.888,2.0,2.0,7.0,-0.2124212421242124,1.0,7.0
pepeverse,2021-10-17T06:11:22.435596,0.0,10,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
feudalz,2021-11-21T09:55:15.388526,729.227702754967,328,0.179,4018.326208913338,9430.0,4444.0,208.15209869041985,-0.945369399752118,1038.0,0.20053188698499022
the-littles-nft,2021-11-24T07:34:39.476881,0.0,1,0.125,0.0,0.0,22.0,0.0,0.0,0.0,0.0
lee-mullican,2021-11-18T23:57:49.273984,15.0,13,7.5,14.258207238167968,13.0,15.0,14.258207238167968,0.0,13.0,1.0967851721667667
crypto-unicorns,2020-10-25T16:22:59.417571,0.0,14,0.03,2.064,22.0,27.0,0.035,-0.22222222222222213,1.0,0.035
mutant-ape-yacht-club,2021-08-29T00:41:59.548458,270464.37866223115,11170,15.8,170372.1309726851,22213.0,17638.0,47024.29019994242,0.5911369799979374,3993.0,11.776681743035919
cryptoadz,2021-04-15T20:10:08.310035,2.2,3,0.05,0.060000000000000005,2.0,44.0,0.05,0.0,1.0,0.05
sandbox,2019-12-04T10:58:29.069907,391186.8503860413,17765,3.61,132907.49615094892,72698.0,103182.0,21062.692424147343,-0.5383365633164445,5947.0,3.541734054842331
cyberkongz,2021-04-16T19:57:15.677123,33618.41122148053,2323,6.53,40339.86334278493,4854.0,5000.0,4556.84038901054,0.10295242508402606,637.0,7.153595587143705
world-of-women,2021-03-30T19:56:01.223579,0.0,1,,0.0,0.0,4.0,0.0,0.0,0.0,0.0
the-doge-pound,2021-07-12T20:21:03.766305,19117.497510373436,5566,2.43,25544.06064362307,16969.0,10000.0,1289.0230927000036,-0.43455210272385,669.0,1.9267908710015003
mekaverse,2021-10-07T20:29:17.017760,23092.921998763624,5139,1.38,45087.890766328856,10570.0,8885.0,1646.6418182330083,-0.2085371040407637,863.0,1.9080438218227211
fluf-world,2021-08-05T20:23:36.545766,21650.641115138813,3587,1.73,19143.562676872265,16360.0,9999.0,1621.8431624000027,-0.12937256733696395,892.0,1.8182098233183888
jenkins-the-valet,2021-08-04T01:37:38.385193,6028.352107705785,2826,0.59,3002.533219622791,9299.0,6941.0,1119.4213761013204,1.88357939025825,1409.0,0.7944793300932012
lazy-lions,2021-08-06T06:37:58.189522,12550.932777856478,5000,1.34,20583.7844006549,22762.0,10080.0,1700.067878708544,-0.1727176539559315,1377.0,1.2346171958667713
creature-world,2021-04-22T13:28:44.346302,0.0,1,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
byopills,2021-07-16T12:06:51.781899,10061.482383193132,3379,1.15,3441.1557636968264,13397.0,9997.0,1175.7349748500994,7.2880425166674705,1733.0,0.6784391083959027
jrny-nft-club,2021-11-13T00:30:01.194996,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metahero,2021-08-04T13:24:17.717619,0.056666666666666664,49,0.06,2.6754999999999973,64.0,1.0,0.21,1.7272727272727273,4.0,0.0525
adam-bomb-squad,2021-08-27T06:34:50.869077,10565.763104661308,8205,0.269,12223.123615546028,27148.0,24999.0,783.9167488898266,0.20627063162940884,2221.0,0.35295666316516283
treeverse,2021-08-01T00:15:32.788384,12718.925433067723,3789,1.49,11625.415791619032,11609.0,10420.0,767.7839166520802,-0.6698171736104985,724.0,1.0604750230001108
anonymice,2021-09-16T20:30:01.947029,15061.238798021974,311,1.787,13779.873577622957,5652.0,9998.0,448.5715898900001,-0.5755961563711851,328.0,1.3675963106402442
onchainmonkey,2021-09-11T22:46:46.944520,5517.707337103819,2881,0.557,3914.39735666811,14218.0,9500.0,287.55577700035974,-0.5981189874907431,528.0,0.5446132140158328
loot,2021-02-03T02:11:33.337904,0.0,1,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fomoverse,2021-10-03T15:55:13.385332,2529.7,1017,2.0,1040.5950333333337,259.0,1234.0,36.782,-0.7054258599287231,16.0,2.298875
gauntlets,2021-08-15T17:02:34.617386,667.9436781609191,3861,0.07,3060.8663214820513,6947.0,10000.0,30.886338999999996,-0.6060376563476804,342.0,0.09031093274853808
apes-of-space,2021-08-11T22:15:47.072623,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skullx,2021-10-27T00:10:12.241249,814.6807936507936,2604,0.0139,218.4959440688926,1656.0,10000.0,18.34300789999999,-0.7573035237815631,310.0,0.05930227620578775
alphabetty-doodles,2021-08-06T16:38:48.719926,139.29559805031442,3483,0.018,1445.9809581201969,11663.0,10000.0,5.5607709220645845,0.07768966880454795,327.0,0.01700541566380607
ready-player-cat-nft,2021-08-08T15:35:22.684953,202.7123423684211,1818,0.078,2631.5303984016487,4514.0,4949.0,7.001789999999993,-0.6320057392428619,108.0,0.06483138888888883
heavencomputer,2021-08-15T23:24:44.019113,354.92960701280794,2882,0.05,2500.3873029577694,8342.0,7777.0,17.214063330546182,1.2108710818697663,365.0,0.047161817343962145
curious-addys-trading-club,2021-11-14T11:09:34.012775,0.0,1,0.01,0.0,0.0,444.0,0.0,0.0,0.0,0.0
metakrew,2021-11-18T23:29:22.304931,759.4903500000001,3356,0.044,208.35239874649773,1206.0,7335.0,75.93399874649711,-0.42656006456431206,455.0,0.1668879093329607
dope-shibas,2021-07-30T20:05:43.055886,188.3007578000001,3882,0.015,1512.8478233245255,11474.0,9899.0,5.1703242124975395,0.11276702459077696,226.0,0.022877540763263447
junkyarddogs,2021-08-09T23:03:37.696920,463.7445614736459,3357,0.053,2123.7444280840064,9621.0,7976.0,17.61350537068465,0.2677323314424041,296.0,0.05950508571177246
superrare,2019-04-26T22:13:23.645797,698959.0173534051,5838,0.24,62212.749241772355,19983.0,29137.0,6723.549612106002,1.62893353657399,523.0,12.85573539599618
wolf-game-migrated,2021-11-28T04:07:17.068658,31233.44588671618,4078,0.87,10736.223773988193,8181.0,13706.0,5769.234585819075,0.16151543062762955,4570.0,1.2624145702011105
apostles-genesis,2021-10-31T22:13:02.610049,7309.8755948704575,2416,0.72,859.6380631328853,1353.0,7078.0,672.5129888984674,4.750031009173465,981.0,0.6855382149831472
partydegenerates,2021-10-17T18:40:10.900270,2177.1152068003207,3950,0.21,4517.875623592419,7063.0,9993.0,191.73622112824106,-0.5195543421285496,991.0,0.1934775187974178
spirit-orb-pets-v0,2021-09-24T18:49:45.320072,24.864074000000002,374,0.07,1044.8856237073066,973.0,777.0,2.215302,-0.6357369771112865,59.0,0.03754749152542373
tom-sachs-rockets,2021-08-01T14:04:31.640428,4225.456551724138,551,1.49,11288.80092555564,2845.0,1934.0,173.60400000000007,0.14119309778143022,51.0,3.4040000000000012
smilesssvrs,2021-10-30T05:55:28.037823,3304.1545367879203,4282,0.3999,3517.9379321053634,8554.0,8721.0,458.0839411653408,-0.8382200746663011,1392.0,0.32908329106705514
chain-runners-nft,2021-11-05T22:01:32.211402,8916.73905923344,3093,0.8,9043.204475455666,9678.0,10000.0,1071.5121839600013,-0.8655853556837475,971.0,1.1035140926467573
boredapeyachtclub,2021-04-22T23:14:03.967121,780138.0703148792,6074,73.5,295801.2799644306,23645.0,10000.0,46853.767565974544,-0.014382003658257255,676.0,69.3103070502582
cool-cats-nft,2021-06-27T09:03:35.403074,105957.21836535736,5047,11.25,66144.58016406774,24179.0,9933.0,7272.488192379037,0.21959995120878803,803.0,9.056647811181865
0n1-force,2021-08-15T14:16:38.196274,8313.817616354145,4223,0.999,45444.08754644751,17220.0,7775.0,822.9946885744417,0.028866755958069083,860.0,0.956970568109816
fvck-crystal,2021-08-08T20:13:59.595733,4993.804503493975,1865,1.55,8273.810307299202,3519.0,4169.0,292.9203999899999,-0.006564223439314295,234.0,1.2517965811538458
cryptozombieznft,2021-10-21T16:23:24.459961,118.01391759259265,819,0.0389,705.5701249495895,5008.0,5555.0,5.486909999999991,-0.9600545866374861,191.0,0.028727277486910948
cryptohoots-steampunk-parliament,2021-09-28T17:04:28.686941,947.7879992805757,957,0.375,2810.9127408569943,4298.0,2499.0,97.24460000000003,-0.3791436482165999,302.0,0.322001986754967
sneaky-vampire-syndicate,2021-09-09T15:00:49.956702,7181.205631848812,1606,0.7798,19585.289726265895,13356.0,8888.0,598.2500623506129,-0.03474047599250751,672.0,0.8902530689741264
pudgypenguins,2021-07-22T12:48:58.239929,8435.092608851708,4703,0.9,43331.33768709226,29758.0,8886.0,972.7196968824638,-0.17536155278466609,1032.0,0.942557845816341
lostpoets,2021-09-03T04:50:03.338901,19278.188183564558,8441,0.285,27526.456291211394,32013.0,27595.0,1215.3649299007334,-0.521677809265313,1962.0,0.619452053975909
hashmasks,2021-01-28T15:01:12.705115,14054.483609258787,5056,0.82,40757.68164354992,19364.0,16370.0,462.14265408530036,-0.17146857412077396,386.0,1.1972607618790165
loomlock,2021-09-22T23:40:47.337198,7269.560469826035,2591,0.66,6770.882660309784,6636.0,9546.0,290.7179711348703,-0.7107258291170838,452.0,0.6431813520682972
animetas,2021-07-30T07:28:13.340236,2227.3515147058815,4022,0.18,9526.928378133136,16732.0,10100.0,95.10639000000008,-0.34524574807321845,485.0,0.19609564948453623
acclimatedmooncats,2021-04-22T03:18:24.841043,18194.05604431224,5190,0.488,14382.250500100547,12703.0,18610.0,358.24150811345095,-0.3269727919802462,476.0,0.7526082103223759
chibi-apes,2021-09-08T23:40:53.602119,545.4635669576292,1836,0.12,1442.2593840825896,5281.0,3000.0,47.75149011384869,-0.06603184380035762,298.0,0.1602383003794956
corruption-s,2021-11-13T00:15:48.978715,1590.3078477697838,1541,0.4499,2520.9070402043576,3782.0,4196.0,175.91137999999995,-0.9249843473123226,479.0,0.36724713987473895
bored-ape-comic,2021-07-20T17:50:20.903556,647.5667753076923,2705,0.055,648.6935664058784,4835.0,9999.0,20.659891099999985,4.289541476778122,410.0,0.050389978292682894
koala-intelligence-agency,2021-08-21T23:02:12.184307,981.2456098901099,4993,0.09,12555.239491672468,17296.0,10000.0,54.874880100000034,-0.7117987980489952,513.0,0.10696857719298253
angryapesunited,2021-11-08T22:12:31.362378,842.2607463448277,4877,0.079,1214.2402346024528,6127.0,8888.0,91.57621399999759,-0.9184295458663989,753.0,0.12161515803452536
purrnelopes-country-club,2021-07-17T20:00:40.317565,2103.790697674418,3038,0.19,2549.55421720039,8509.0,10000.0,54.21408999999995,0.4972074819659611,201.0,0.26972184079601974
spacepunksclub,2021-08-15T15:27:30.155402,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
