collection_slug,created_date,market_cap,num_owners,floor_price,total_volume,total_supply,thirty_day_volume,thirty_day_change
mutant-ape-yacht-club,2021-08-29T00:41:59.548458,281373.7356419953,11171,15.0,173986.71632497318,17670,50009.55319056477,0.6792704344669926
boredapeyachtclub,2021-04-22T23:14:03.967121,791889.113645695,6081,71.69,298568.6316295188,10000,47976.26876597454,-0.012598486140133966
primeapeplanetpap,2021-12-28T14:47:19.031823,18799.74531195969,4948,1.97,17433.796857575944,7979,17433.796857575955,0
doodles-official,2021-10-17T13:00:47.419945,80356.96919991281,5508,7.69,42261.393218381505,9999,15453.518149345264,0.33815928662735134
cryptopunks,2019-04-26T22:13:09.691572,762264.9828594339,3314,,774789.1391493082,9999,39675.05790000103,0.1568599801414304
bored-ape-kennel-club,2021-06-18T21:32:25.355263,61696.8339073964,5223,5.55,48922.0870464666,9601,10311.049034111684,1.7962405799234153
clonex,2021-12-12T18:32:58.410707,120045.08218110123,7376,6.5,53234.773978044235,18360,53234.77397804394,0
sandbox,2019-12-04T10:58:29.069907,395601.055877415,17821,3.58,131556.29586599878,103228,20933.73614520431,-0.541803055645917
bored-ape-chemistry-club,2021-08-28T19:14:35.400797,100.90273235294111,1230,16.69,32888.79617364737,3,9063.299489999992,2.4559771942854822
psychedelics-anonymous-genesis,2021-12-22T21:00:33.484429,13590.848873477576,6958,1.75,7819.631509179294,9595,7819.631509179339,0
phantabear,2021-12-31T09:26:30.303698,5573.139066928802,4945,0.799,3705.02285169426,10000,3705.0228516942675,0
alienfrensnft,2021-12-18T06:46:31.634552,7241.579956977778,5766,1.19,6121.415559136563,9999,6121.415559136508,0
cool-cats-nft,2021-06-27T09:03:35.403074,109641.19015468108,5054,11.35,66754.32969366775,9933,7836.957081979032,0.34659220904189486
inbetweeners,2021-12-25T05:04:41.533646,13852.160678559145,4813,0.625,5207.246313740663,9277,5207.246313740641,0
wolf-game-migrated,2021-11-28T04:07:17.068658,31844.3333400728,4107,0.779,11040.971173988217,13706,5914.975785819078,0.1539175004860305
